func,grid,k,feature_idx,feature_name,test_r2,n_inflection,inflection_points_norm
log2,20,5,0,Log (x0),,3,"[0.1, 0.63023597, 0.94]"
log2,20,5,1,Linear (x1),,2,"[0.10143405, 0.9399283]"
log2,30,2,0,Log (x0),1.0,1,[0.47468084]
log2,30,2,1,Linear (x1),1.0,0,[]
log2,30,3,0,Log (x0),1.0,3,"[0.4509889, 0.59474057, 0.87539417]"
log2,30,3,1,Linear (x1),1.0,1,[0.87805116]
log2,30,4,0,Log (x0),1.0,5,"[0.1, 0.4509889, 0.68355876, 0.7424341, 0.87539417]"
log2,30,4,1,Linear (x1),1.0,1,[0.10143405]
log2,30,5,0,Log (x0),0.9979,6,"[0.14933406, 0.20366275, 0.22331752, 0.2790623, 0.56405115, 0.9266666]"
log2,30,5,1,Linear (x1),0.9979,3,"[0.14006366, 0.72901314, 0.9266188]"
log2,50,2,0,Log (x0),1.0,10,"[0.1, 0.17182098, 0.23613483, 0.31284165, 0.4820283, 0.5228172, 0.6673819, 0.7424341, 0.82633287, 0.87093824]"
log2,50,2,1,Linear (x1),1.0,10,"[0.24058497, 0.2847158, 0.35595992, 0.46252346, 0.5051319, 0.5325797, 0.6602026, 0.74006546, 0.8261582, 0.8595808]"
log2,50,3,0,Log (x0),0.9794,13,"[0.1, 0.14399391, 0.18468274, 0.20548156, 0.21988009, 0.28408897, 0.29645878, 0.33359137, 0.4225468, 0.4820283, 0.6076643, 0.69503534, 0.7424341]"
log2,50,3,1,Linear (x1),0.9794,13,"[0.16553184, 0.19837892, 0.23042022, 0.26589662, 0.30555943, 0.3246913, 0.35595992, 0.4011999, 0.51785225, 0.56363595, 0.64251864, 0.70323324, 0.8105172]"
log2,50,4,0,Log (x0),0.9973,3,"[0.11387416, 0.14399391, 0.4423445]"
log2,50,4,1,Linear (x1),0.9973,11,"[0.14588182, 0.26589662, 0.30555943, 0.42757183, 0.4508973, 0.4758137, 0.5051319, 0.55099314, 0.62326324, 0.74006546, 0.9]"
log2,50,5,0,Log (x0),1.0,10,"[0.1, 0.11387416, 0.25138542, 0.38605905, 0.5228172, 0.5423251, 0.64121836, 0.7078918, 0.7424341, 0.9]"
log2,50,5,1,Linear (x1),1.0,12,"[0.10143405, 0.16553184, 0.24058497, 0.2847158, 0.3427277, 0.43790272, 0.4758137, 0.51785225, 0.56363595, 0.6096993, 0.7548603, 0.9159713]"
log2,70,2,0,Log (x0),1.0,19,"[0.1, 0.17476256, 0.20147084, 0.2281258, 0.26453054, 0.29486737, 0.31664395, 0.4225468, 0.4715953, 0.48546156, 0.5161464, 0.55305177, 0.6056612, 0.66914314, 0.69315565, 0.7176932, 0.76751244, 0.8371201, 0.8671391]"
log2,70,2,1,Linear (x1),1.0,19,"[0.12309455, 0.19837892, 0.23186366, 0.26589662, 0.31821033, 0.3483237, 0.39371455, 0.43790272, 0.47408128, 0.5142566, 0.5341074, 0.58166367, 0.63622284, 0.6602026, 0.7414218, 0.76649547, 0.8038082, 0.83958733, 0.8605827]"
log2,70,3,0,Log (x0),1.0,19,"[0.1, 0.120872095, 0.1938783, 0.21734168, 0.25138542, 0.29486737, 0.3815928, 0.4138557, 0.4715953, 0.5006053, 0.52785265, 0.55305177, 0.61229175, 0.634641, 0.68355876, 0.7176932, 0.73030454, 0.82633287, 0.8671391]"
log2,70,3,1,Linear (x1),1.0,21,"[0.13549778, 0.17478716, 0.20995314, 0.26589662, 0.307189, 0.3483237, 0.37067997, 0.4220631, 0.45559534, 0.4847184, 0.5051319, 0.55620867, 0.58956146, 0.6222109, 0.7076523, 0.73628706, 0.76649547, 0.7899304, 0.8148952, 0.83958733, 0.86983067]"
log2,70,4,0,Log (x0),1.0,7,"[0.108429626, 0.13183492, 0.48546156, 0.5006053, 0.62252986, 0.758655, 0.8902669]"
log2,70,4,1,Linear (x1),1.0,7,"[0.13549778, 0.58956146, 0.7414218, 0.77495617, 0.8038082, 0.8811967, 0.9]"
log2,70,5,0,Log (x0),0.9865,17,"[0.1, 0.108429626, 0.14082724, 0.18468274, 0.21734168, 0.2748721, 0.3041303, 0.5006053, 0.56725717, 0.59474057, 0.634641, 0.66914314, 0.6993781, 0.758655, 0.8371201, 0.8902669, 0.9114286]"
log2,70,5,1,Linear (x1),0.9865,12,"[0.12309455, 0.13549778, 0.14727458, 0.18531354, 0.2222093, 0.26589662, 0.33900532, 0.37067997, 0.43790272, 0.46383664, 0.89287615, 0.91140807]"
log2,100,2,0,Log (x0),0.9925,42,"[0.1, 0.13044569, 0.13847609, 0.17182098, 0.19574887, 0.20219041, 0.20548156, 0.21210659, 0.22598341, 0.23613483, 0.25138542, 0.2712988, 0.2777706, 0.3034454, 0.3414968, 0.36643958, 0.3932249, 0.41553897, 0.4225468, 0.4331551, 0.4423445, 0.44955447, 0.4732432, 0.493685, 0.5006053, 0.5291233, 0.5568744, 0.5760165, 0.59474057, 0.60130876, 0.61500365, 0.6556209, 0.6751823, 0.69503534, 0.7191919, 0.7522647, 0.785208, 0.81202173, 0.82633287, 0.8466932, 0.8598543, 0.88629335]"
log2,100,2,1,Linear (x1),0.9925,39,"[0.11683643, 0.13028087, 0.14588182, 0.18160664, 0.1879643, 0.23042022, 0.24483278, 0.26589662, 0.27536955, 0.30555943, 0.33555627, 0.3522922, 0.3616926, 0.39537042, 0.42757183, 0.43790272, 0.4508973, 0.46252346, 0.4758137, 0.48387358, 0.5051319, 0.5247988, 0.55561924, 0.58845973, 0.6016642, 0.6162569, 0.64251864, 0.68697274, 0.70323324, 0.7361721, 0.7437507, 0.7548603, 0.7702286, 0.78573364, 0.7943798, 0.8036823, 0.83550954, 0.8653961, 0.8882682]"
log2,100,3,0,Log (x0),0.9996,26,"[0.1, 0.13847609, 0.17182098, 0.19574887, 0.22598341, 0.2712988, 0.28408897, 0.33359137, 0.35101232, 0.36643958, 0.41553897, 0.44955447, 0.47816208, 0.51247704, 0.5760165, 0.60130876, 0.62208766, 0.68355876, 0.69503534, 0.73462343, 0.76920265, 0.785208, 0.82633287, 0.8466932, 0.87093824, 0.88629335]"
log2,100,3,1,Linear (x1),0.9996,27,"[0.14588182, 0.18160664, 0.19837892, 0.2353288, 0.2847158, 0.31409055, 0.35595992, 0.3767673, 0.40776888, 0.43230486, 0.46882236, 0.5051319, 0.5424917, 0.55561924, 0.6162569, 0.64251864, 0.6602026, 0.7150729, 0.7361721, 0.7437507, 0.77692145, 0.7943798, 0.81700796, 0.83550954, 0.8515404, 0.8653961, 0.8954576]"
log2,100,4,0,Log (x0),0.9999,34,"[0.1, 0.11387416, 0.14399391, 0.17182098, 0.18468274, 0.19574887, 0.20548156, 0.24347736, 0.29645878, 0.32703373, 0.3414968, 0.3572052, 0.40650168, 0.4423445, 0.456782, 0.4820283, 0.5006053, 0.5291233, 0.5493256, 0.5760165, 0.58487827, 0.6076643, 0.6556209, 0.68355876, 0.69503534, 0.7191919, 0.7265362, 0.76920265, 0.785208, 0.80032736, 0.82633287, 0.84989846, 0.87093824, 0.8938637]"
log2,100,4,1,Linear (x1),0.9999,32,"[0.11683643, 0.13866332, 0.14588182, 0.16553184, 0.20701656, 0.24058497, 0.26589662, 0.2847158, 0.3246913, 0.3427277, 0.35595992, 0.3767673, 0.4011999, 0.43230486, 0.46252346, 0.4758137, 0.49185365, 0.5051319, 0.55099314, 0.58845973, 0.6162569, 0.64251864, 0.6758187, 0.69796956, 0.7150729, 0.74006546, 0.7702286, 0.7811638, 0.8036823, 0.81700796, 0.8515404, 0.8653961]"
log2,100,5,0,Log (x0),1.0,31,"[0.10545519, 0.13847609, 0.18468274, 0.19574887, 0.24347736, 0.2921076, 0.31284165, 0.35101232, 0.36643958, 0.40650168, 0.4423445, 0.46695694, 0.4820283, 0.5228172, 0.5760165, 0.60130876, 0.6076643, 0.61500365, 0.63023597, 0.6556209, 0.69503534, 0.71202147, 0.73462343, 0.7522647, 0.785208, 0.80032736, 0.81716007, 0.83417755, 0.84989846, 0.87093824, 0.8938637]"
