Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol]
387.939,0.180092,4.35357,5.98205,1.37948,47.5539,1.0,-2849.3447265625
905.126,0.415711,6.37671,6.97014,1.23311,193.377,1.0,-2606.3515625
2552.6,0.65417,5.36429,6.89312,0.885693,833.467,1.0,-2495.93603515625
282.5,0.149617,3.42591,4.49987,1.22858,16.6313,1.0,-3276.743408203125
1313.75,0.374753,4.00061,5.29993,0.910439,56.0288,1.0,-2451.581298828125
4728.43,0.78935,6.84161,11.21041,0.547827,2028.72,1.0,-2554.298828125
5013.14,0.813509,8.85681,9.93941,0.463264,2513.85,1.0,-1814.6365966796875
296.954,0.196004,3.69344,4.40645,2.14875,9.20605,5.0,-3149.48486328125
2395.41,0.65804,8.09366,9.51153,0.730207,1423.46,5.0,-2226.66015625
846.674,0.474204,3.4159,6.71853,1.33856,53.3373,5.0,-3334.03271484375
2925.03,0.713108,7.50441,11.90696,0.768092,1442.54,5.0,-1658.3992919921875
2336.45,0.53932,4.47069,5.98075,0.904617,206.774,5.0,-2336.49072265625
2906.33,0.774967,14.317,14.60431,0.558988,838.778,5.0,-2228.497314453125
4051.56,0.821037,9.72716,11.1681,0.484625,1386.38,5.0,-1675.18701171875
3627.32,0.784157,6.91898,12.68724,0.600983,2860.87,5.0,-1749.2603759765625
732.637,0.388915,4.07472,4.3677,1.33418,14.7449,5.0,-3615.8408203125
827.514,0.446166,3.93992,4.67093,1.1825,23.5519,5.0,-3912.029541015625
2352.15,0.626506,13.28878,15.13677,0.77125,3382.71,5.0,-2226.285400390625
1031.56,0.485418,3.54481,7.47854,1.29936,166.101,5.0,-3025.552001953125
3059.43,0.65981,6.72225,8.08784,0.690584,1012.39,5.0,-1907.0660400390625
1059.34,0.482609,5.29587,6.9552,1.18052,75.1948,5.0,-2951.357421875
1547.17,0.561204,19.85248,20.00488,0.794872,1018.45,5.0,-2071.74169921875
4625.87,0.846244,11.99207,14.38768,0.388694,4182.86,5.0,-1607.8447265625
886.813,0.590898,5.18451,6.08683,1.01775,330.968,5.0,-2535.33203125
2421.89,0.694431,9.34269,10.07397,0.723678,684.461,5.0,-1998.2734375
789.679,0.32303,4.49036,5.02611,1.13366,21.9306,5.0,-3209.34375
