Acc. Surface Area [m^2/g],Void Fraction,PLD,LCD,Density,Channel Volume,Pressure [kPa],H_ads [kJ/mol],CO2 Uptake [g/g]
2711.83,0.594338,5.05823,7.3019,0.815171,210.175,1.0,-1792.096435546875,0.3371100127696991
5807.05,0.850196,9.74038,12.81295,0.333604,3595.13,1.0,-1534.0498046875,0.393979012966156
3470.1,0.698444,6.53066,11.26341,0.716566,1251.94,1.0,-2004.482177734375,0.3698616027832031
294.136,0.146138,3.83703,6.08571,1.42839,39.85,1.0,-2871.048828125,0.6043386459350586
2499.49,0.69201,9.87708,10.25996,0.695348,430.813,1.0,-2060.106201171875,0.7136425971984863
920.266,0.406466,6.40506,6.83783,1.26074,105.0,1.0,-2888.562744140625,1.1942355632781982
3911.85,0.71671,5.33982,7.66437,0.662692,827.089,1.0,-2121.357421875,1.111811876296997
3511.67,0.835139,12.54746,19.78958,0.538167,5418.85,1.0,-1513.6632080078125,0.24803446233272552
849.371,0.346854,5.15513,7.36955,1.43398,101.533,1.0,-2357.79541015625,0.1879320740699768
2961.71,0.769381,21.64376,22.11682,0.44445,3138.44,1.0,-2158.5673828125,0.74056077003479
2946.22,0.65517,5.33267,7.21008,0.858867,238.791,1.0,-1908.1204833984375,0.5784338712692261
3675.13,0.715661,9.50156,14.9251,0.54203,2346.0,1.0,-2051.063720703125,0.3212698698043823
1253.83,0.431129,6.26411,7.27854,1.03798,160.25,1.0,-2784.82177734375,1.0882185697555542
4166.03,0.727303,5.63393,8.23505,0.67988,328.395,1.0,-1708.3570556640625,0.5105788707733154
283.495,0.141567,3.39938,4.47087,1.356,16.7556,1.0,-3296.5732421875,0.7215275764465332
2676.73,0.596838,7.57508,8.98712,0.72516,401.795,1.0,-2230.970947265625,0.573663592338562
2197.18,0.752802,10.58314,11.64559,0.904924,1351.67,1.0,-1866.7703857421875,0.35773107409477234
604.138,0.318318,3.39833,5.08104,1.24934,39.8451,1.0,-3673.17431640625,10.289312362670898
2617.62,0.675155,4.96131,11.44225,0.834226,816.472,1.0,-1862.1309814453125,0.4423743188381195
476.553,0.307834,3.9639,4.7092,1.75762,19.4345,1.0,-3548.172119140625,2.63991641998291
4767.49,0.872905,12.33041,18.35662,0.3563,6795.64,1.0,-1322.6278076171875,0.25991788506507874
3314.06,0.727988,8.97366,10.66248,0.651925,1338.98,1.0,-1643.576904296875,0.28825294971466064
3321.49,0.775292,7.84047,15.27218,0.625165,4207.56,1.0,-1603.0494384765625,0.2900065779685974
94.9576,0.0992947,3.42474,3.91177,1.62611,2.12814,1.0,-3908.7685546875,0.646812915802002
5313.54,0.861286,14.05254,15.60895,0.328217,2907.25,1.0,-1375.4173583984375,0.35705700516700745
1153.31,0.55097,16.46281,16.82435,0.98992,730.228,1.0,-1426.2154541015625,0.09317728132009506
845.86,0.396906,3.6655,4.48127,1.21909,36.4497,1.0,-3524.168212890625,4.757538795471191
4018.22,0.736959,9.8978,11.74237,0.52794,860.25,1.0,-1232.6072998046875,0.17046625912189484
2624.35,0.818814,15.55152,17.13657,0.675371,2961.21,1.0,-1831.991455078125,0.24348312616348267
479.579,0.31439,4.12881,5.49822,1.51359,130.733,1.0,-3837.4091796875,3.779189348220825
453.256,0.228297,4.16341,4.8816,1.29528,32.4308,1.0,-3290.80615234375,3.064146041870117
810.97,0.474014,3.39878,7.08861,1.54858,147.191,1.0,-2967.919677734375,2.753655195236206
3168.98,0.788407,8.38066,16.20892,0.663072,4677.0,1.0,-1685.9022216796875,0.3651963770389557
468.051,0.255217,3.74339,6.38309,1.3364,135.601,1.0,-3031.5234375,1.9798420667648315
1123.17,0.596914,3.33941,8.68128,1.02955,289.164,1.0,-2607.296142578125,1.753873348236084
358.496,0.226024,4.53526,4.84094,1.41273,25.4803,1.0,-3636.452392578125,4.811200141906738
540.963,0.499162,3.40163,7.51498,1.46727,110.638,1.0,-3217.437255859375,6.186008930206299
768.68,0.400575,3.95797,4.57978,1.15689,12.1759,1.0,-3454.222900390625,6.19779109954834
3257.69,0.61532,7.65489,8.17116,0.646299,513.761,1.0,-2661.523193359375,1.7843974828720093
1476.45,0.528434,6.61362,7.68688,1.05204,261.208,1.0,-2861.885498046875,1.4782865047454834
1260.3,0.691147,10.77502,11.53666,1.2432,390.467,1.0,-2216.2412109375,0.6770803332328796
264.681,0.211578,3.55656,5.63864,1.70155,17.2408,1.0,-3661.5810546875,5.725284576416016
2023.92,0.637301,9.1875,10.21483,0.798928,568.155,1.0,-2217.736328125,0.6075878143310547
5298.85,0.916283,16.42275,24.2276,0.23486,13103.7,1.0,-979.9810791015625,0.22694295644760132
1031.56,0.485418,3.54481,7.47854,1.29936,166.101,1.0,-3011.62255859375,3.602842092514038
324.008,0.207834,3.55725,3.90061,1.31947,2.53054,1.0,-3159.8232421875,0.3054686486721039
1515.64,0.57025,4.68182,8.33648,1.15936,409.849,1.0,-2748.549560546875,2.0899441242218018
1090.1,0.453782,3.67692,4.42744,1.22749,40.9056,1.0,-3213.01708984375,2.956270933151245
1293.96,0.481308,3.7662,5.77442,1.22248,117.266,1.0,-3188.548583984375,2.4926695823669434
1851.42,0.615721,4.93399,7.36311,1.17069,766.219,1.0,-2519.821533203125,1.2231221199035645
