Current density (A/cm2),Voltage (V),Faradaic efficiency,CO conversion,Crossover rate,Capture energy (MJ/kgCO2),Electricity price (USD/kWh),Membrane cost (USD/m2)
0.16933296654701155,-0.003169221517658522,0.07273061056296497,0.015618959203277228,0.0,0.0002615313794593621,-0.03816808217962274,-0.00041807539649150343
-0.102102533187975,-0.006300506171820757,-0.04791942272609897,-0.009018100429865256,0.0,-6.572109693689376e-05,-0.023597553884489086,-7.503727582320167e-05
0.07156766477394243,0.012063017976462094,-0.10887929757269114,-0.00013759636350548637,0.0,0.0014310049876109215,0.008504740470209948,-0.0025657482662458635
-0.07667486427767262,-0.010542272312059986,0.04227840173532887,-0.00017893458325268785,0.0007886182734381708,0.0,-0.035233363893919074,-0.0005015843244197236
-0.05992900163538602,0.00433230456389172,-0.046942651365503296,-0.008240930741634038,-0.0005774972955603502,0.0,0.0074614379132409685,-0.0009122605562691615
-0.08601261672628292,-0.004599026624517333,0.05175866336676001,0.016360715782103814,0.0007949758966897345,-0.001496934055626192,0.018089766390323787,-0.0013553788287777198
-0.036641480215096014,0.0005056988231526244,0.10311155075850567,0.003455752140298367,0.0004681620559466249,7.954423148219536e-05,0.05167419505597734,0.0004182316973687156
0.0923759391928193,0.0005061760697263871,-0.13237442735776228,0.012287980718297207,0.0,-0.0003467779322608097,-0.019885181407910187,0.002859082846647812
0.08000717423162516,0.010980572024682441,-0.0048502626421975245,-0.017211314891384697,0.0,0.0019872105670890273,-0.03825776992400412,-0.0006382300621296383
0.13346435543311044,0.002347373686839957,0.03328615048683065,0.015304173067356252,4.919032623654229e-05,0.0025125243734281594,-0.008089439891033235,-0.0018733448213012693
0.11803869901840354,-0.00904012306600962,-0.02907199931359299,-0.0029996099857357954,0.0,0.002306122708942135,0.013903437413413785,-0.0022042746546204546
0.053822820742221146,0.00840883105766394,-0.02262646985399785,-0.008947577415760978,5.46181065209754e-05,-0.0022626694228570048,-0.03482747760488979,0.0011659621247201814
0.049686930163335065,0.006637139595771642,0.1447770114007193,0.0004086381175088527,0.0,-0.0022923331400728133,-0.002357504733283372,0.002754109400806758
0.21381313091928564,-0.013548693622949816,0.038613314823794695,0.00023279433039643334,3.660171851399251e-05,3.028810201316512e-05,0.031189524932227188,-0.003850729209019899
-0.06255150475737997,0.005929564718338349,-0.09714388492500216,0.012861055760540668,0.0,-0.0006449949675013311,-0.037995062308491805,0.0007559130493445532
-0.057936079374099905,-0.007473526962373198,-0.002219641053625566,-0.006029487263062378,-2.929498911024425e-05,0.0,0.03678656356322048,-0.0021652493915070336
-0.08381754415057216,0.005791453639842756,0.12392231528378156,0.003900102518117869,0.0010171821369174114,0.0007350516244416135,-0.04057508636873546,0.0017698554854029005
-0.10175772802513806,0.005629926841700564,-0.09241768673474345,0.0026786908422703672,-7.611592074346918e-05,-0.0018671931474173844,0.02135389433409723,0.0019755641494486106
-0.08976395478923846,0.0019648030251025322,-0.05552341667758644,-0.0007738669612157301,0.0,-0.0010943289189188608,-0.03652832763310961,0.0022415206942600135
-0.004818368594603556,-0.0007921282305317934,-0.07557588641895543,0.0036143392291770322,-0.0003489103449932721,-0.0007457979507582077,-0.007627654692238416,0.0008546080612830548
0.01641173405670167,0.010261181000748687,0.01775384958018819,0.0025080809451598677,7.781353336101457e-05,-0.0017259530286586116,-0.023587201217577708,-0.0005186452401602574
0.08780697312312749,0.0039499967778553555,-0.03252697227704238,0.002622185286059359,0.0,0.0025368805005661446,0.012452533564728282,0.002107001314748988
-0.039014117730835844,0.008171243459543587,-0.006975682025620088,-0.015499363522468864,0.0006671802981560406,-0.0007848276325132231,0.003941518123816854,9.75944750721755e-05
0.21767257315633037,-0.004109756222084618,0.04865309457238087,0.001275307830322707,0.0,0.0010901047311670823,0.011995327992449217,-0.0016319844243393722
-0.07170324356102935,-0.006612991089967478,-0.08940157745645613,0.008735379401584599,7.432181808822436e-05,-0.0011428020666632266,-0.0027934701265005606,0.002569522927485726
-0.024393775141696022,0.010917883488767688,-0.044223609029901495,-0.018096374776648605,0.0007829764196324029,0.001436583972741855,-0.032849180122099426,-0.0013332330901003372
-0.04025746157052982,-0.0052330040123350005,-0.08463237599118068,-0.01562780437097505,-8.51049250466529e-05,-0.0009505685477064271,-0.03108010746071456,-0.0012444221940604717
-0.05884392961951581,0.013719390205921424,0.07021511718131354,0.015205820650082765,0.0006392278569640833,0.0012113907800620602,-0.03992548326958488,-0.001172295318793464
0.12129937630552577,-0.0008300871978596991,0.03815312774088202,0.002546507787973715,7.033588849764127e-05,0.0019245453143804814,0.021441551590289234,-0.0022850460481465364
0.18762581552802363,0.0014494951599835632,0.09619137419826622,0.01196845799162734,0.0,0.0024959048567911573,0.040052554451855925,-0.0012774076412201962
-0.06872570527967724,0.0033273742180387708,0.024357709208560955,-0.018359135109518348,0.0003093414670725589,-0.0011779503853806676,0.014483517861056058,0.001805039428478178
-0.020812366762431894,-0.007289091412133512,0.022174578592721622,-0.020546874564786505,-0.00022262056799422433,-0.0005509963095429619,-0.0026295248895364175,-0.00026788390993516477
-0.09194290550999926,0.010585972737626336,-0.03623170391663524,0.008503037812922751,0.00015249025611219214,-0.001773962555876675,-0.007008050303508158,-0.002025153184415079
